File Format: MDS
; @(#) $Source: /cvs/sr/src/gemini/lib_netlist/slib-sml/source/CDMA_rf.dat,v $ $Revision: 1.1 $ $Date: 1997/12/17 12:01:44 $
Title: Equation data
Date: Tuesday, 4 November 1997 21:45:20 GMT
Plotname: XX x[0]
Flags: complex
No. Sweep Variables: 0
Sweep Variables:
No. Variables: 2
Variables:         0  IVAR  unknown type=real indep=yes
        1  _NMDEQN  unknown type=complex indep=no
Values:
466    .948079427E-04,0
    -.30145302,.1850261
467    .950113932E-04,0
    -.29059898,.167251E-01
468    .952148437E-04,0
    -.20696662,-.15730425
469    .954182943E-04,0
    -.7689171E-01,-.25723854
470    .956217448E-04,0
    .7689171E-01,-.22542627
471    .958251953E-04,0
    .20696662,-.8987488E-01
472    .960286458E-04,0
    .29059898,.971863E-01
473    .962320964E-04,0
    .30145302,.24698459
474    .964355469E-04,0
    .26916818,.27597101
475    .966389974E-04,0
    .22596425,.18097249
476    .968424479E-04,0
    .20180683,-.1063086E-01
477    .970458984E-04,0
    .20653752,-.22085294
478    .97249349E-04,0
    .22778781,-.37292635
479    .974527995E-04,0
    .24513374,-.42206673
480    .9765625E-04,0
    .23248959,-.36921771
481    .978597005E-04,0
    .21070384,-.251051
482    .98063151E-04,0
    .18866136,-.11432537
483    .982666016E-04,0
    .19343998,.77358E-02
484    .984700521E-04,0
    .2367655,.10519463
485    .986735026E-04,0
    .30163742,.18708512
486    .988769531E-04,0
    .34695409,.25041847
487    .990804036E-04,0
    .33154646,.30787327
488    .992838542E-04,0
    .22550219,.32912356
489    .994873047E-04,0
    .6589268E-01,.29374538
490    .996907552E-04,0
    -.10724985,.19361046
491    .998942057E-04,0
    -.23255595,.4673029E-01
492    .100097656E-03,0
    -.28666171,-.10505586
493    .100301107E-03,0
    -.25926866,-.21148436
494    .100504557E-03,0
    -.20573353,-.24654043
495    .100708008E-03,0
    -.17870007,-.17863993
496    .100911458E-03,0
    -.19558251,-.3397325E-01
497    .101114909E-03,0
    -.26119207,.14885302
498    .101318359E-03,0
    -.31582619,.31685075
499    .10152181E-03,0
    -.30702346,.42165333
500    .10172526E-03,0
    -.20863404,.43389296
501    .101928711E-03,0
    -.3956348E-01,.35127429
502    .102132161E-03,0
    .14089923,.18655671
503    .102335612E-03,0
    .25724568,.537312E-02
504    .102539062E-03,0
    .26814433,-.14641304
505    .102742513E-03,0
    .15185264,-.21853811
506    .102945964E-03,0
    -.3252515E-01,-.18901152
507    .103149414E-03,0
    -.20934184,-.7387054E-01
508    .103352865E-03,0
    -.30460586,.7980681E-01
509    .103556315E-03,0
    -.27454383,.21528531
510    .103759766E-03,0
    -.12165868,.30390697
511    .103963216E-03,0
    .10396828,.31665338
512    .104166667E-03,0
    .33654866,.28326954
513    .104370117E-03,0
    .48009447,.23579293
514    .104573568E-03,0
    .4931263,.20452083
515    .104777018E-03,0
    .36669489,.20459648
516    .104980469E-03,0
